video_name,optimal_crf,optimal_preset,quality_score,file_size_mb,edge_density,motion_score,brightness,color_variance,resolution,fps,duration
video_047.mp4,26,medium,91.66750000000002,47.87376880645752,0.07696368751881963,0.15879911383631387,0.3985666710855902,0.20052794609610952,2073600,25.0,40.08
video_048.mp4,26,faster,90.7033,13.0897798538208,0.14765696304563494,0.11349315592760796,0.5077110440009337,0.27233081391455133,921600,29.97002997002997,33.033
video_049.mp4,30,faster,91.7146,5.674437522888184,0.005045705536265432,0.021369948732302354,0.5736443583008048,0.1897335850296551,2073600,25.0,39.08
video_050.mp4,26,faster,90.42010000000002,28.12101459503174,0.13823766911738916,0.15212093583206032,0.22222928043885204,0.18551069248346375,2211840,23.976023976023978,31.656625
video_051.mp4,24,fast,91.92399999999999,43.70158672332764,0.18980811315985527,0.13942372816217535,0.3725811497930909,0.24021947262797078,2073600,23.976023976023978,27.569208333333332
video_052.mp4,28,fast,90.577,10.656410217285156,0.11012586257540685,0.05589275235444112,0.2647977288394051,0.19588527684306628,2211840,25.0,32.36
video_053.mp4,28,fast,90.8944,36.207258224487305,0.21722424007066277,0.0481192524734702,0.28129555947927415,0.2250100960022901,2073600,29.97002997002997,36.302933333333335
video_054.mp4,28,fast,91.33840000000001,10.031668663024902,0.19375974700861248,0.09558657480905873,0.20741964113779024,0.1448646292932271,2211840,23.976023976023978,32.449083333333334
video_055.mp4,28,fast,90.13960000000002,2.4015588760375977,0.019268685874241985,0.029792798057078695,0.4959129712565033,0.3511582165315835,983520,25.0,28.84
video_056.mp4,30,medium,97.68460000000002,4.6924543380737305,0.003718028406492913,0.10787130010776866,0.7554545690975865,0.15663321330032176,2073600,23.976023976023978,25.108416666666663
video_057.mp4,28,fast,90.86020000000002,8.36425495147705,0.12143096116484788,0.08567426723534709,0.43968454379364597,0.2708172887706116,2211840,23.976023976023978,26.109416666666664
video_058.mp4,30,medium,93.63220000000003,4.980587005615234,0.00701692241636798,0.030022029951383845,0.32744362476671285,0.2650436145163766,2073600,29.97002997002997,29.8298
video_059.mp4,30,faster,95.00020000000002,2.679668426513672,0.00420250496031746,0.009037067907909353,0.19267226685427255,0.21173117659453577,2073600,25.0,34.84
video_060.mp4,30,faster,91.89340000000001,17.70345401763916,0.11704155815972221,0.06690961960999056,0.4209953318965028,0.23658271675317522,2073600,29.97002997002997,30.096733333333333
